Leporinus octofasciatus,Leporinus octofasciatus,potamodromous,,,,,,,,,,,,,Breeding,"IUCN states short reproductive displacement, assumed from family",,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Unknown,2021,0-100(km),2,,,https://doi.org/10.1590/S1679-62252007000200013,Paper,,,,,,,Leporinus octofasciatus,,,,,,,,,,,,
Leporinus octomaculatus,Leporinus octomaculatus,,Full Migrant,,,,,,,,,,,,Little information,"IUCN: """"""""""""""""There is no information about the habitats and ecology of this species,"""""""""""""""" assumed from family maybe long. mig",,little information,Neotropical,more than one central river,Least Concern,Unknown,2022,little information,0,,,,,,,,,,,,Leporinus octomaculatus,,,,,,,,,,,potamodromous
Leporinus parae,Leporinus parae,,Full Migrant,,,,,,,,,,,,Little information,"little information on IUCN, FB, internet: assumed from faimly maybe long. mig",,little information,Neotropical,more than one central river,Least Concern,Unknown,2022,little information,0,,,,,,,,,,,,Leporinus parae,,,,,,,,,,,potamodromous
Brevidens striatus,Leporinus striatus,potamodromous,Full Migrant,,,,,,,,,,,,Little information,common in tributaries; little other information. Assumed from family possibly long. mig,,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Stable,2022,100-500(km),2,,,https://doi.org/10.1590/S1679-62252007000200013,Paper,https://doi.org/10.4025/actascibiolsci.v46i1.69946,Paper,https://doi.org/10.1111/jfb.14614,Paper,,,Leporinus striatus,Leporinus striatus,,,,,,,,,,,potamodromous
Leporinus subniger,Leporinus subniger,,Full Migrant,,,,,,,,,,,,Little information,"IUCN: """"""""""""""""Like many other members of Leporinus this species is likely omnivorous and migratory, but no other specific ecological information about this species is currently available'  Assumed from family maybe long. mig",,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Unknown,2022,0-100(km),1,,,,,,,,,,,,Leporinus subniger,,,,,,,,,,,potamodromous
Leporinus trimaculatus,Leporinus trimaculatus,,Full Migrant,,,,,,,,,,,,Little information,"IUCN: """"""""""""""""There is no information about the habitats and ecology of this species."""""""""""""""" Assumed from family maybe long. mig",,little information,Neotropical,one large river,Least Concern,Unknown,2022,little information,0,,,,,,,,,,,,Leporinus trimaculatus,,,,,,,,,,,potamodromous
Leporinus unitaeniatus,Leporinus unitaeniatus,,Full Migrant,,,,,,,,,,,,Little information,"IUCN: """"""""""""""""There is no information about the habitats and ecology of this species."""""""""""""""" Assumed from family maybe long. mig",,"potamodromous, longitudinal",Neotropical,one large river,Least Concern,Unknown,2022,0-100(km),3,,,https://doi.org/10.1111/lre.12151,Paper,https://doi.org/10.1111/lre.12151,Paper,,,,,,Leporinus unitaeniatus,,,,,,,,,,,potamodromous
Leporinus venerei,Leporinus venerei,,Full Migrant,,,,,,,,,,,,Little information,"IUCN: """"""""""""""""There is no information about the habitats and ecology of this species."""""""""""""""" Assumed from family maybe long. mig",,little information,Neotropical,one large river,Least Concern,Unknown,2022,little information,0,,,,Paper,,,,,,,,Leporinus venerei,,,,,,,,,,,potamodromous
Leporinus y-ophorus,Leporinus y-ophorus,,,,,lateral migration,,,,,,,,,,,,"potamodromous, lateral",Neotropical,more than one central river,Least Concern,Unknown,2016,0-100(km),2,,,https://doi.org/10.1016/j.actao.2011.06.004,Paper,https://doi.org/10.1111/j.1600-0633.2011.00511.x,Paper,,,,,,,,,Leporinus y-ophorus,,,,,,,,
Leptobarbus hoevenii,Leptobarbus hoevenii,potamodromous,,,,,Grey,,,,,,,,Breeding,"IUCN: longitudinal, breeding (https://link.springer.com/article/10.1007/s12562-022-01602-4)",,"potamodromous, lateral",Indomalayan,more than one central river,Least Concern,Unknown,2020,0-100(km),2,,,,,,,,,,,Leptobarbus hoevenii,,,,,Leptobarbus hoevenii,,,,,,,
Leptobarbus rubripinna,Leptobarbus rubripinna,,Full Migrant,,,,,,,,,,,,Breeding,"IUCN longitudinal, assumed for breeding",,"potamodromous, longitudinal",Indomalayan,more than one central river,Data Deficient,Unknown,2012,100-500(km),3,,,https://doi.org/10.3390/w12092506,Paper,,,,,,,,Leptobarbus rubripinna,,,,,,,,,,,potamodromous
Leptobotia elongata,Leptobotia elongata,,Full Migrant,,,,,,,,,,,,Breeding,"IUCN, (https://link.springer.com/article/10.1007/s10641-011-9927-7)",,"potamodromous, longitudinal",Indomalayan|Palearctic,more than one central river,Vulnerable,Decreasing,2013,100-500(km),2,,,https://doi.org/10.1016/j.bse.2016.10.015,Paper,https://doi.org/10.1016/j.gecco.2020.e01072,Paper,,,,,,Leptobotia elongata,,,,,,,,,,,potamodromous
Leptocottus armatus,Leptocottus armatus,amphidromous,Not a Migrant,,Amphidromous,,,,,,,,,,,,,amphidromous,Nearctic|Neotropical,coastal,Least Concern,Stable,2014,0-100(km),3,,Partial pop mig.,,,,,,,,,Leptocottus armatus,,,Leptocottus armatus,,,,,,,,,
Leptocypris niloticus,Leptocypris niloticus,potamodromous,Full Migrant,,,,,,,,,,,,Little information,"suggestion here (https://www.ichthyologie.de/wp-content/uploads/2021/03/Moritz-Laleye-2019-Fishes-of-the-Pendjari-National-Park-Bull-Fish-Biol-18-S.-1-57.pdf) that juveniles utilize different territory than adults, not a lot of information",,little information,Afrotropical|Palearctic,more than one central river,Least Concern,Unknown,2020,0-100(km),0,,,,,,,,,,,Leptocypris niloticus,Leptocypris niloticus,,,,,,,,,,,
Leptomelanosoma indicum,Leptomelanosoma indicum,amphidromous,,amphidromous,,,,,,,,,,,,,,amphidromous,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),0-100(km),3,,,,,,,,,,,Leptomelanosoma indicum,,Polydactylus indicus,,,,,,,,,,
Lethenteron alaskense,Lethenteron alaskense,potamodromous,,potamodromous,Potamodromous,,,,,,,,,,Breeding,"At about 4 years of age transforms from ammocoete in fall, moves 
downstream into lakes over winter; spawns the following spring and 
summer in shallow of lakes and rivers",,"potamodromous, longitudinal",Nearctic,more than one central river,Data Deficient,Unknown,2013,0-100(km),2,,,https://doi.org/10.3897/zookeys.991.54938,Paper,https://scholarworks.alaska.edu/bitstream/handle/11122/7901/Shink_K_2017.pdf?sequence=1&isAllowed=y,Other,,,,,Lethenteron alaskense,,Lampetra alaskensis,Lethenteron alaskense,,,,,,,,,
Lethenteron appendix,Lethenteron appendix,,,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,more than one central river,Least Concern,Stable,2015,non-migratory,2,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.738825/Lethenteron_appendix,Database,https://doi.org/10.3897/zookeys.991.54938,Paper,,,,,,,,Lethenteron appendix,,,,,,,,,
Lethenteron camtschaticum,Lethenteron camtschaticum,anadromous,Full Migrant,,Anadromous,,,,,,Anadromous,,,,,,,anadromous,Nearctic|Palearctic,more than one central river,Least Concern,Stable,2024,500-3000(km),3,,,,,,,,,,,Lethenteron camtschaticum,Lethenteron camtschaticum,,Lethenteron camtschaticum,,,,,,Lethenteron camtschaticum,,,
Lethenteron reissneri,Lethenteron reissneri,,Full Migrant,anadromous,,,,,,,potamodromous,,,,Breeding,IUCN,,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Stable,2024,0-100(km),2,,,https://doi.org/10.1007/s102280200022,Paper,https://doi.org/10.1007/s102280200022,Paper,,,,,,Lethenteron reissneri,Lampetra reissneri,,,,,,,Lethenteron reissneri,,,potamodromous
Lethrinops microstoma,Lethrinops microstoma,potamodromous,,,,,,,,,,,,,,depth migrant; non-migratory for our purposes,,non-migratory,Afrotropical,lake,Least Concern,Unknown,2019,non-migratory,3,,,,,,,,,,,Lethrinops microstoma,,,,,,,,,,,,
Leucaspius delineatus,Leucaspius delineatus,potamodromous,,,,,,,,,,,,,Breeding,FB,,non-migratory,Palearctic,more than one central river,Least Concern,Stable,2024,non-migratory,2,,,,,,,,,,,Leucaspius delineatus,,,,,,,,,,,,
Leuciscus aspius,Leuciscus aspius,potamodromous,Full Migrant,potamodromous,,,,,,,"Anadromous, potadromous",,,,Breeding,IUCN; some individuals seem to be semi-anadromous,,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Stable,2024,0-100(km),2,,Partial pop mig.,https://doi.org/10.1046/j.1439-0426.2003.00504.x,Paper,,,,,,,Leuciscus aspius,Leuciscus aspius,Aspius aspius,,,,,,,Aspius aspius,,,
Leuciscus bergi,Leuciscus bergi,,Nomadic,,,,,,,,,,,,,"non-migratory for our purposes, spawns in lake whereit is present year-round - IUCN",,non-migratory,Palearctic,lake,Vulnerable,Unknown,2020,non-migratory,3,,,,,,,,,,,,Leuciscus bergi,,,,,,,,,,,potamodromous
Leuciscus burdigalensis,Leuciscus burdigalensis,,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,"IUCN, FB",,"potamodromous, longitudinal",Palearctic,more than one central river,Near Threatened,Decreasing,2024,0-100(km),2,,,,,,,,,,,,Leuciscus burdigalensis,,,,,,,,Leuciscus burdigalensis,,,potamodromous
Leuciscus idus,Leuciscus idus,potamodromous,Full Migrant,,Potamodromous,,,,,,Potamodromous,,,,Breeding,IUCN,,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Unknown,2024,0-100(km),3,,Partial pop mig.,https://doi.org/10.1111/j.1095-8649.2009.02198.x,Paper,,,,,,,Leuciscus idus,Leuciscus idus,,Leuciscus idus,,,,,,Leuciscus idus,,,
Leuciscus leuciscus,Leuciscus leuciscus,potamodromous,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,IUCN,,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Unknown,2024,0-100(km),3,,,,,,,,,,,Leuciscus leuciscus,Leuciscus leuciscus,,,,,,,,Leuciscus leuciscus,,,
Leuciscus schmidti,Leuciscus schmidti,,Nomadic,,,,,,,,,,,,,"IUCN: non-migratory for our purposes, breeds at lake edges with river input",,"potamodromous, longitudinal",Palearctic,lake and river migration,Vulnerable,Decreasing,2020,0-100(km),2,,,,,,,,,,,,Leuciscus schmidti,,,,,,,,,,,potamodromous
Leuciscus waleckii,Leuciscus waleckii,potamodromous,Not a Migrant,potamodromous,,,,,,,,,,,Breeding,"longitudinal for breeding (https://www.sciencedirect.com/science/article/pii/S0888754318300405#:~:text=Abstract,river%20for%20spawning%20every%20year.)",,"potamodromous, longitudinal",Indomalayan|Palearctic,more than one central river,Least Concern,Stable,2022,0-100(km),2,,,https://doi.org/10.3390/ijms160613959,Paper,https://doi.org/10.3389/fenvs.2022.997827,Paper,https://doi.org/10.1016/j.ygeno.2018.11.007,Paper,,,Leuciscus waleckii,,Leuciscus waleckii waleckii,,,,,,,,,,
Leucopsarion petersii,Leucopsarion petersii,amphidromous,Full Migrant,anadromous,,,,,,,,,,,,,,anadromous,Palearctic,coastal,Least Concern,Decreasing,2023,0-100(km),3,,Partial pop mig.,https://doi.org/10.1111/j.1444-2906.2006.01160.x,Paper,https://doi.org/10.11369/jji1950.17.29,Paper,,,,,Leucopsarion petersii,Leucopsarion petersii,Leucopsarion petersi,,,,,,,,,,
Lithodoras dorsalis,Lithodoras dorsalis,potamodromous,,,,longitudinal migration,,,,,,,,,Little information,"IUCN, FB, might move sideways for feeding - juveniles often spotted there ",,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Unknown,2023,0-100(km),3,,,https://doi.org/10.1590/1982-0224-2024-0098,Paper,,,,,,,Lithodoras dorsalis,,,,Lithodoras dorsalis,,,,,,,,
Lithognathus lithognathus,Lithognathus lithognathus,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Endangered,Decreasing,2014,0-100(km),2,,,,,,,,,,,Lithognathus lithognathus,,,,,,,,,,,,
Lobocheilos rhabdoura,Lobocheilos cryptopogon,potamodromous,,potamodromous,,,,,,,,,,,Feeding,FB,,"potamodromous, lateral",NA,more than one central river,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),0-100(km),3,,,,,,,,,,,Lobocheilos cryptopogon,,Henicorhynchus cryptopogon,,,,,,,,,,
Lobocheilos rhabdoura,Lobocheilos gracilis,,,,,,White,,,,,,,,,,,little information,NA,more than one central river,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),little information,0,,,,,,,,,,,,,,,,Lobocheilos gracilis,,,,,,,
Lobocheilos rhabdoura,Lobocheilos melanotaenia,potamodromous,Full Migrant,,,,White,,,,,,,,Breeding,IUCN longitudinal; likely for breeding which is impacted in rainy season,,"potamodromous, longitudinal",Indomalayan,more than one central river,Least Concern,Unknown,2012,500-3000(km),3,,,,,,,,,,,Lobocheilos melanotaenia,Lobocheilos melanotaenia,,,,Lobocheilos melanotaenia,,,,,,,
Lobocheilos rhabdoura,Lobocheilos quadrilineatus,potamodromous,,,,,,,,,,,,,,,,little information,NA,more than one central river,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),little information,0,,,,,,,,,,,Lobocheilos quadrilineatus,,,,,,,,,,,,
Microphis ocellatus,Lophocampus ocellatus,potamodromous,,potamodromous,,,,,,,,,,,Little information,"male broods young in pouch; little supplementry information. Google scholar search returns only two entries, both unrelated",,little information,NA,more than one central river,Data Deficient,Unknown,2019,little information,0,,,,,,,,,,,Lophocampus ocellatus,,Microphis ocellatus,,,,,,,,,,
Dotsugobius bleekeri,Lophogobius bleekeri,amphidromous,,,,,,,,,,,,,,,,amphidromous,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),0-100(km),3,,,,,,,,,,,Lophogobius bleekeri,,,,,,,,,,,,
Lophogobius cyprinoides,Lophogobius cyprinoides,amphidromous,,,Amphidromous,,,,,,,,,,,,,amphidromous,Nearctic|Neotropical,coastal,Least Concern,Unknown,2015,0-100(km),3,,,,,,,,,,,Lophogobius cyprinoides,,,Lophogobius cyprinoides,,,,,,,,,
Loricariichthys anus,Loricariichthys anus,potamodromous,,,,,,,,,,,,,Little information,doesn't seem to be migratory for our case: seems to be mostly a depth migration (https://www.scielo.br/j/aabc/a/Y8GBNkckVCLCvMsd5mS9wLn/),,little information,Neotropical,more than one central river,Least Concern,Unknown,2023,little information,0,,,,,,,,,,,Loricariichthys anus,,,,,,,,,,,,
Lota lota,Lota lota,potamodromous,,,Anadromous,,,,,,potamodromous,,,,Breeding,IUCN,,"potamodromous, lateral",Nearctic|Palearctic,more than one central river,Least Concern,Stable,2024,0-100(km),2,Facultative,Partial pop mig.,,,,,,,,,Lota lota,,,Lota lota,,,,,,Lota lota,,,
Lovettia sealii,Lovettia sealii,anadromous,Full Migrant,,,,,,,,,,,,,,,anadromous,Australasian,more than one central river,Least Concern,Unknown,2019,0-100(km),2,,,,,,,,,,,Lovettia sealii,Lovettia sealii,,,,,,,,,,,
Lucania parva,Lucania parva,amphidromous,,,Anadromous,,,,,,,,,,,,,amphidromous,Nearctic|Neotropical,more than one central river,Least Concern,Stable,2019,0-100(km),3,,,,,,,,,,,Lucania parva,,,Lucania parva,,,,,,,,,
Luciobarbus brachycephalus,Luciobarbus brachycephalus,potamodromous,Full Migrant,potamodromous,,,,,,,Semi-anadromous,,,,,,,anadromous,Palearctic,more than one central river,Endangered,Decreasing,2024,500-3000(km),3,Facultative,Partial pop mig.,,,,,,,,,Luciobarbus brachycephalus,Luciobarbus brachycephalus,Barbus brachycephalus brachycephalus,,,,,,,Luciobarbus brachycephalus,,,
Luciobarbus capito,Luciobarbus capito,,Full Migrant,,,,,,,,Semi-anadromous,,,,,,,anadromous,Palearctic,more than one central river,Vulnerable,Decreasing,2024,100-500(km),2,Facultative,Partial pop mig.,,,,,,,,,,Luciobarbus capito,,,,,,,,Luciobarbus capito,,,semi-anadromous
Luciobarbus caspius,Luciobarbus caspius,,Full Migrant,,,,,,,,,,,,Breeding,IUCN,,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Decreasing,2020,0-100(km),1,,,,,,,,,,,,Luciobarbus caspius,,,,,,,,,,,potamodromous
Luciobarbus esocinus,Luciobarbus esocinus,,Full Migrant,,,,,,,,,,,,Breeding,IUCN,,"potamodromous, longitudinal",Palearctic,one large river,Vulnerable,Decreasing,2014,0-100(km),1,,,https://www.researchgate.net/profile/Nikolaos-Andritsos/publication/310005466_HydroMeditT_2016_proceedings_2nd_International_Congress_on_Applied_Ichthyology_Aquatic_Environment/links/582758fa08ae950ace6cc35c/HydroMeditT-2016-proceedings-2nd-International-Congress-on-Applied-Ichthyology-Aquatic-Environment.pdf#page=29,,,,,,,,,Luciobarbus esocinus,,,,,,,,,,,potamodromous
Luciobarbus graellsii,Luciobarbus graellsii,,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,IUCN; FB,,"potamodromous, longitudinal",Palearctic,more than one central river,Near Threatened,Decreasing,2024,0-100(km),2,,,https://www.limnetica.com/documentos/limnetica/limnetica-43-1-02.pdf,Paper,,,,,,,,Luciobarbus graellsii,,,,,,,,Luciobarbus graellsii,,,potamodromous
Luciobarbus guiraonis,Luciobarbus guiraonis,,,,,,,,,,Potamodromous,,,,,,,"potamodromous, longitudinal",Palearctic,more than one central river,Near Threatened,Decreasing,2024,0-100(km),2,,,,,,,,,,,,,,,,,,,,Luciobarbus guiraonis,,,
Luciobarbus longiceps,Luciobarbus longiceps,,Full Migrant,,,,,,,,,,,,Breeding,"""""""""""""""""Spawns January to March in shallow waters of small streams, eggs being deposited on gravel"""""""""""""""" on FB; IUCN had no information; """"""""""""""""From April to May the species migrates upstream to headwaters for spawning"""""""""""""""" from paper Casal-Lopez et. al. 2015 https://www.semanticscholar.org/paper/Taxonomic-review-of-the-genus-Luciobarbus-Heckel%2C-Casal-L%C3%B3pez-Perea/d506f328e6e4d2e127939fb95ae101b59a520ee7; these information state differences in the spawning season ",,"potamodromous, longitudinal",Palearctic,one large river,Endangered,Decreasing,2014,0-100(km),2,,,http://dx.doi.org/10.3989/graellsia.2015.v71.135,Paper,,,,,,,,Luciobarbus longiceps,,,,,,,,,,,potamodromous
Luciobarbus subquincunciatus,Luciobarbus subquincunciatus,,Full Migrant,,,,,,,,,,,,Breeding,IUCN; no information on FB,,"potamodromous, longitudinal",Palearctic,more than one central river,Critically Endangered,Decreasing,2014,0-100(km),2,,,,,,,,,,,,Luciobarbus subquincunciatus,,,,,,,,,,,potamodromous
Luciobrama macrocephala,Luciobrama macrocephalus,,Full Migrant,,,,,,,,,,,,Breeding,"IUCN; """"""""""""""""have the habit of semi-migration between rivers and lakes"""""""""""""""" from FB",,"potamodromous, longitudinal",Indomalayan|Palearctic,more than one central river,Data Deficient,Decreasing,2012,0-100(km),1,,,https://doi.org/10.1007/s10641-010-9632-y,Paper,,,,,,,,Luciobrama macrocephalus,,,,,,,,,,,potamodromous
Luciocyprinus langsoni,Luciocyprinus langsoni,,Full Migrant,,,,,,,,,,,,Little information,"""""""""""""""""species is thought to move upstream against seasonal floods, and to then return downstream as waters recede"""""""""""""""" from IUCN; no information on FB",,"potamodromous, longitudinal",Indomalayan,more than one central river,Vulnerable,Decreasing,2012,0-100(km),1,,,,,,,,,,,,Luciocyprinus langsoni,,,,,,,,,,,potamodromous
Luciocyprinus striolatus,Luciocyprinus striolatus,,,,,,White,,,,,,,"Short distance, potamodromous",,,,"potamodromous, longitudinal",Indomalayan,one large river,Endangered,Decreasing,2011,100-500(km),1,,,https://doi.org/10.3390/w12061820,Paper,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,,,,Luciocyprinus striolatus,,,,,,,
Luciogobius guttatus,Luciogobius guttatus,amphidromous,,,,,,,,,,,,,,,,amphidromous,Palearctic,coastal,Least Concern,Unknown,2022,0-100(km),3,,,,,,,,,,,Luciogobius guttatus,,,,,,,,,,,,
Luciogobius pallidus,Luciogobius pallidus,amphidromous,,,,,,,,,,,,,,,,little information,Palearctic,coastal,Data Deficient,Unspecified,1996,little information,0,,,,,,,,,,,Luciogobius pallidus,,,,,,,,,,,,
Luciosoma bleekeri,Luciosoma bleekeri,,Full Migrant,,,,White,,,,,,,,Little information,"analogue infos on IUCN & FB; migration is reported, but no reason",,"potamodromous, lateral",Indomalayan,more than one central river,Least Concern,Stable,2012,0-100(km),3,,,,,,,,,,,,Luciosoma bleekeri,,,,Luciosoma bleekeri,,,,,,,lateral migrant
Luciosoma setigerum,Luciosoma setigerum,,,,,,White,,,,,,,,Refuge,,,"potamodromous, lateral",Indomalayan,more than one central river,Least Concern,Unknown,2019,0-100(km),2,,,,,,,,,,,,,,,,Luciosoma setigerum,,,,,,,
Lutjanus goldiei,Lutjanus goldiei,catadromous,,,,,,,,,,,,,,,,catadromous,NA,one large river,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),0-100(km),2,,,https://doi.org/10.1111/fme.12153,Paper,https://doi.org/10.1016/S1571-9197(08)00412-6,Paper,https://doi.org/10.1007/s12237-018-0455-y,Paper,,,Lutjanus goldiei,,,,,,,,,,,,
Lutjanus griseus,Lutjanus griseus,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2016,0-100(km),3,,,,,,,,,,,Lutjanus griseus,,,,,,,,,,,,
Luxilus cornutus,Luxilus cornutus,,,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,more than one central river,Least Concern,Stable,2015,non-migratory,2,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100654/Luxilus_cornutus,Database,,,,,,,,,,Luxilus cornutus,,,,,,,,,
Lycengraulis batesii,Lycengraulis batesii,,Full Migrant,,,lateral migration,,,,,,,,,,,,little information,Neotropical,more than one central river,Least Concern,Unknown,2017,little information,0,,,,,,,,,,,,Lycengraulis batesii,,,Lycengraulis batesii,,,,,,,,anadromous
Lycengraulis grossidens,Lycengraulis grossidens,anadromous,,,,,,,,,,,,,,,,anadromous,Neotropical,more than one central river,Least Concern,Unknown,2015,0-100(km),2,Facultative,Partial pop mig.,https://doi.org/10.1016/j.ecss.2014.01.014,Paper,https://doi.org/10.1002/rra.3670,Paper,,,,,Lycengraulis grossidens,,,,,,,,,,,,
Lycothrissa crocodilus,Lycothrissa crocodilus,potamodromous,Full Migrant,,,,White,,,,,,,,Breeding,IUCN states seasonal longitudinal migration following dry and monsoon season & spawning in floodplains; FB states migration to be triggered by receding/rising water levels,,"potamodromous, longitudinal",Indomalayan,more than one central river,Least Concern,Unknown,2020,100-500(km),2,,,https://cultivateunderstanding.com/Digital_Media/Atlas_Mekong_Fishes/CONTENT/MAIN_TXT/PDF_mix.pdf,Database,,,,,,,Lycothrissa crocodilus,Lycothrissa crocodilus,,,,Lycothrissa crocodilus,,,,,,,
Maccullochella peelii,Maccullochella peelii,potamodromous,Full Migrant,potamodromous,,,,,,,,,,,Breeding,"IUCN states longitudinal migration for spawning, but distances vary greatly; FB only takes about the possibility of juvenile migration",,"potamodromous, longitudinal",Australasian,more than one central river,Least Concern,Increasing,2019,100-500(km),3,,,https://doi.org/10.1071/MF24043,Paper,https://doi.org/10.1111/j.1600-0633.2009.00375.x,Paper,,,,,Maccullochella peelii,Maccullochella peelii,Maccullochella peelii peelii,,,,,,,,,,
Macquaria ambigua,Macquaria ambigua,potamodromous,Full Migrant,,,,,,,,,,,,Breeding,FB states long upstream spawining migrations; IUCN & FB state spwaning in floodplains,,"potamodromous, longitudinal",Australasian,more than one central river,Least Concern,Stable,2019,500-3000(km),3,,,,,,,,,,,Macquaria ambigua,Macquaria ambigua,,,,,,,,,,,
Macquaria australasica,Macquaria australasica,potamodromous,Full Migrant,,,,,,,,,,,,Breeding,IUCN states spawning migration into tributaries; FB states upstream spawning migration in groups,,"potamodromous, longitudinal",Australasian,one large river,Endangered,Decreasing,2019,0-100(km),3,,,https://doi.org/10.1111/jfb.13731,Paper,,,,,,,Macquaria australasica,Macquaria australasica,,,,,,,,,,,
Macrhybopsis aestivalis,Macrhybopsis aestivalis,,,,Potamodromous,,,,,,,,,,,,,"potamodromous, longitudinal",Nearctic,more than one central river,Least Concern,Decreasing,2019,0-100(km),2,,,https://doi.org/10.3398/064.078.0110,Paper,https://doi.org/10.1080/00028487.2013.806352,Paper,,,,,,,,Macrhybopsis aestivalis,,,,,,,,,
Macrhybopsis australis,Macrhybopsis australis,,,,Potamodromous,,,,,,,,,,,,,"potamodromous, longitudinal",Nearctic,one large river,Vulnerable,Unknown,2013,100-500(km),2,,,https://doi.org/10.1186/s40462-022-00306-9,Paper,https://doi.org/10.1080/00028487.2013.806352,Paper,,,,,,,,Macrhybopsis australis,,,,,,,,,
Macrhybopsis gelida,Macrhybopsis gelida,,,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,one large river,Least Concern,Stable,2014,non-migratory,2,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106309/Macrhybopsis_gelida,Database,https://doi.org/10.1080/00028487.2013.806352,Paper,,,,,,,,Macrhybopsis gelida,,,,,,,,,
Macrhybopsis hyostoma,Macrhybopsis hyostoma,,,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,more than one central river,Least Concern,Stable,2013,non-migratory,2,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106278/Macrhybopsis_hyostoma,Database,https://doi.org/10.1080/00028487.2013.806352,Paper,,,,,,,,Macrhybopsis hyostoma,,,,,,,,,
Macrhybopsis marconis,Macrhybopsis marconis,,,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,more than one central river,Least Concern,Stable,2013,non-migratory,2,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102136/Macrhybopsis_marconis,Database,https://doi.org/10.1080/00028487.2013.806352,Paper,,,,,,,,Macrhybopsis marconis,,,,,,,,,
Macrhybopsis meeki,Macrhybopsis meeki,,,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,one large river,Least Concern,Stable,2014,non-migratory,2,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101978/Macrhybopsis_meeki,Database,https://doi.org/10.1080/00028487.2013.806352,Paper,,,,,,,,Macrhybopsis meeki,,,,,,,,,
Macrhybopsis storeriana,Macrhybopsis storeriana,,,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,more than one central river,Least Concern,Stable,2013,non-migratory,2,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101653/Macrhybopsis_storeriana,Database,https://doi.org/10.1080/00028487.2013.806352,Paper,,,,,,,,Macrhybopsis storeriana,,,,,,,,,
Macrhybopsis tetranema,Macrhybopsis tetranema,,,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,more than one central river,Endangered,Decreasing,2013,non-migratory,2,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103660/Macrhybopsis_tetranema,Database,https://doi.org/10.1080/00028487.2013.806352,Paper,,,,,,,,Macrhybopsis tetranema,,,,,,,,,
Macrochirichthys macrochirus,Macrochirichthys macrochirus,,Full Migrant,,,,Grey,,,,,,,,Feeding,IUCN & FB state migration into floodplains,,"potamodromous, lateral",Indomalayan,more than one central river,Least Concern,Decreasing,2019,0-100(km),3,,,,,,,,,,,,Macrochirichthys macrochirus,,,,Macrochirichthys macrochirus,,,,,,,potamodromous
Macrognathus aculeatus,Macrognathus aculeatus,potamodromous,,,,,,,,,,,,,Little information,"FB states migration to """"""""""""""""lowland wetlands and peats""""""""""""""""; IUCN states """"""""""""""""marshland or swamp catchment areas""""""""""""""""",,little information,Indomalayan,more than one central river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,Macrognathus aculeatus,,,,,,,,,,,,
Macrognathus circumcinctus,Macrognathus circumcinctus,,,,,,White,,,,,,,,,,,non-migratory,Indomalayan,more than one central river,Least Concern,Stable,2020,non-migratory,2,,,,,,,,,,,,,,,,Macrognathus circumcinctus,,,,,,,
